Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Israel,ISR,39609.3299,65619.3898423,77128.57252,75238.54546,75026.0352778109,79072.4356631562,81703.9131146652,84044.4344111728,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Italy,ITA,508764.943,547349.86,547383.143,529283.803,480698.223117841,489460.132730355,482619.037546784,482634.000294537,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Jamaica,JAM,9319.21737,12364.4322,15423.5468,13912.5571,13884.0972177137,14581.6781043858,15053.5054602312,15474.3204085017,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Japan,JPN,1304676.03,1406194.588,1461356.118,1385164.839,1290243.64782972,1350427.9134916,1396767.26078631,1478858.88126732,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Jordan,JOR,11599.3165797,17799.0188,23900.584,24469.11527,24315.6473389454,25590.049644546,26440.7735323218,27198.5945143973,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kazakhstan,KAZ,372290.9362,207395.42,315840.136,330512.052,287801.126034189,347356.081602398,350475.734882164,366502.19730054,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kenya,KEN,38943.126,46237.25,53054.236,53277.032,52547.6800367631,52675.1023516439,53513.9923820998,54302.0956122537,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kiribati,KIR,39.7799279,42.698831,51.375821,..,52.6991169526772,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Korea, Dem. People’s Rep.",PRK,162999.454,97813.668,92054.1519,99381.168,99920.3788841107,104116.604314427,107165.318927918,109894.964984758,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Korea, Rep.",KOR,300501.326,512819.936,575558.3818,594982.1988,594493.202241893,628838.721073131,650085.534882287,668989.651446327,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kuwait,KWT,..,65239.5715,86228.4561,89301.4427,88824.8817802557,93785.5685485441,96788.1942169604,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kyrgyz Republic,KGZ,33283.18809,9973.9558,11464.2627,11873.2617,13218.8107777734,13008.5431032492,13853.6745152227,13794.7412448409,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lao PDR,LAO,30128.598,24667.954,70977.957,21335.613,24469.6379259297,38034.9636272718,161456.982700603,161718.737448862,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Latvia,LVA,33667.7706,11507.8095,14416.1433,14204.6668,13580.3226,14670.0039,14150.0953121195,13943.921724239,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lebanon,LBN,..,16825.6618,15102.0736,18270.36045,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lesotho,LSO,1882.4258,3230.5765,4439.4282,2543.498,2727.98013422641,3425.27889786419,3449.40565110162,3472.70753642453,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Liberia,LBR,1752.526409,2076.31708,2847.6082,2863.1407,2599.79846235048,2758.54687127273,2797.37082211107,2833.94277850522,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Libya,LBY,61074.1542,63666.8898,71090.5683,74238.8201,73995.4159130736,77780.0897279971,80072.8192017551,82129.133946468,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lithuania,LTU,54344.5327,21257.1305,25791.099,26732.648,24473.52047,26786.483,29324.6896732865,29442.2123465731,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Luxembourg,LUX,13101.9844,10268.3634,13072.4388,12702.3411,12343.3163024847,13034.8157583223,12929.5408156803,12610.9976195246,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Macedonia, FYR",MKD,14328.5064,..,12465.444,11742.8238,11639.367239289,12257.5435281439,12645.7140398317,12992.2469938559,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Madagascar,MDG,48353.24978,84187.244,134284.869,94468.136,117984.460835901,117231.040631623,117586.217732155,117932.597060147,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Malawi,MWI,8537.0945,15450.3876,17520.1761,17735.299,15595.8303564547,21415.5371809398,21525.7616594699,21632.1320932947,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Malaysia,MYS,198587.5635,171393.521,250680.678,256755.874,277979.415615578,263676.105986662,271818.836761596,279098.376755817,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mali,MLI,30794.145,70241.634,74744.398,86890.413,74104.2691956336,76827.8814527539,77134.1826164302,77437.931654233,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Malta,MLT,2605.29414,2553.04695,3227.64269,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
